"AMD","AMZN","NKE","VALE","NOK","AAL","CCL","TGT","DQ","BAC","IWN","AMD*","AMZN*","NKE*","VALE*","NOK*","AAL*","CCL*","TGT*","DQ*","BAC*"
27.42,1950.550049,81.511421,9.928955,5.033792,34.290268,52.509609,71.518585,7.134,28.611416,119.64138,751.8564,3804645.4936539,6644.11175343924,98.584147392025,25.339061899264,1175.82247951182,2757.25903733288,5114.90800040223,50.893956,818.613125525056
26.66,1921,80.506775,9.905164,4.935858,33.557949,51.389538,70.633781,7.146,28.094969,117.600845,710.7556,3690241,6481.34082090063,98.112273866896,24.362694196164,1126.1359410866,2640.88461585344,4989.13101835596,51.065316,789.327283110961
27.09,1917.77002,80.73111,9.85758,4.877098,33.399609,51.715027,70.982056,7.038,27.982286,116.851067,733.8681,3677841.8496108,6517.5121218321,97.1718834564,23.786084901604,1115.53388135288,2674.44401761073,5038.45227398714,49.533444,783.008329785796
27.209999,1899.869995,80.935951,9.714831,4.847718,33.597534,51.638439,70.699677,6.744,27.897776,116.518898,740.384045580001,3609505.9979013,6550.6281642744,94.377941358561,23.500369807524,1128.79429088116,2666.52838235672,4998.44432790433,45.481536,778.285905746176
27.959999,1889.97998,81.882042,9.889301,4.828131,33.637119,52.02137,70.257263,6.882,27.775703,117.088341,781.761544080001,3572024.3248008,6704.66880208976,97.798274268601,23.310848953161,1131.45577462016,2706.2229366769,4936.08300425117,47.361924,771.489677144209
26.24,1822.680054,80.497032,9.500709,4.720404,31.806324,50.527935,67.471077,6.48,26.526834,113.785545,688.5376,3322162.57924944,6479.77216080903,90.263471502681,22.282213923216,1011.64224639298,2553.07221536423,4552.34623153993,41.9904,703.672922063556
27.32,1840.119995,81.60894,9.548292,4.671437,32.00425,51.523556,67.680031,6.68,26.874262,115.104759,746.3824,3386041.5959988,6660.0190879236,91.169880117264,21.822323644969,1024.2720180625,2654.67682288514,4580.58659616096,44.6224,722.225958044644
27.58,1871.150024,81.940575,9.51657,4.671437,31.82612,51.494843,67.252625,6.976,26.564392,115.20916,760.6564,3501202.4123152,6714.25783133062,90.5651045649,21.822323644969,1012.9019142544,2651.71885559465,4522.91556939062,48.664576,705.666922329664
28.01,1907.569946,82.203918,9.127977,4.857512,31.984455,51.628864,67.224144,7.25,26.846092,115.750137,784.5601,3638823.09888244,6757.48413455072,83.319964112529,23.595422830144,1023.00536164702,2665.5395979305,4519.08553653274,52.5625,720.712655672464
27.5,1869,82.486786,9.191421,4.837924,31.410479,51.389538,67.328606,6.554,26.667683,114.241096,756.25,3493161,6804.0698646098,84.482219999241,23.405508629776,986.618191009441,2640.88461585344,4533.14118590324,42.954916,711.165316588489
26.68,1858.969971,80.809158,9.048672,4.975031,30.638577,50.145004,68.458824,6.228,26.667683,113.49131,711.8224,3455769.35307974,6530.12001666896,81.878464963584,24.750933450961,938.722400584929,2514.52142616002,4686.61058346298,38.787984,711.165316588489
27.35,1857.52002,81.579689,9.286587,4.994618,30.975044,50.413055,68.344864,7.176,26.939993,114.6492,748.0225,3450380.6247008,6655.24565733672,86.240698108569,24.946208965924,959.453350801936,2541.47611443303,4671.0204351785,51.494976,725.763222840049
