"AMD.Adjusted","AMZN.Adjusted","NKE.Adjusted","VALE.Adjusted","NOK.Adjusted","AAL.Adjusted","CCL.Adjusted","TGT.Adjusted","DQ.Adjusted","BAC.Adjusted","IWS.Adjusted","IWN.Adjusted"
31.450001,1776.290039,82.86142,8.723523,4.96,26.128435,43.072594,102.443428,10.32,25.971554,82.362953,108.922226
30.9,1789.839966,83.028122,8.652148,4.87,26.327055,42.671959,102.127602,10.058,25.537275,81.963585,107.5774
30.950001,1800.619995,84.675545,8.913855,4.91,26.813673,42.886936,102.74968,10.326,25.952673,82.847862,108.597954
31.5,1840.719971,86.705406,8.985229,4.97,27.498913,44.079052,103.879021,10.19,26.722416,83.874802,110.887047
30.559999,1833.51001,86.970161,8.993158,5.01,27.598223,44.675114,105.132759,10.2,26.351797,84.017426,110.610428
30.5,1831.349976,86.950554,9.207282,5.02,28.243736,46.521915,103.314346,9.654,27.207067,84.873192,113.109352
30.23,1820.550049,85.146233,9.302447,5.1,28.919043,48.525066,104.156578,9.678,27.891283,85.462723,114.978783
29.76,1822.98999,85.06778,9.365891,5.1,29.554626,48.573921,104.290558,9.886,27.995813,86.318489,117.210625
30.209999,1843.550049,85.969948,9.651387,5.24,29.733385,48.485977,104.261826,9.534,28.195375,86.328011,117.344154
30.690001,1839.339966,85.626732,9.635528,5.18,29.743315,49.394726,103.352631,9.64,28.670527,86.337509,117.706596
30.83,1807.839966,85.577682,9.413474,5.12,27.57836,47.801975,102.366867,10.202,28.632511,86.651291,118.231178
30.99,1822.550049,85.891502,9.461057,5.15,28.442354,48.241695,102.673126,10.224,28.451958,86.489639,117.363228
30.42,1817.459961,86.372002,9.334169,5.14,28.402632,47.723808,102.376434,10.238,28.508972,86.328011,116.581131
30.290001,1821.5,85.999352,9.183491,5.15,28.1047,47.274319,103.237793,10.266,28.337923,86.0998,115.961174
30.049999,1794.160034,84.999146,9.183491,5.29,27.796841,47.117977,102.089317,10.166,28.119352,85.87159,115.713188
30.639999,1785.300049,85.989571,9.096255,5.18,27.310223,46.609859,104.108711,10.294,28.05283,85.976181,116.11377
29.52,1741.609985,85.489441,8.890062,5.1,26.813673,46.531685,102.835815,9.58,27.501657,85.401672,114.697411
29.540001,1768.329956,89.049042,9.096255,5.07,27.250639,46.961636,102.213745,9.552,27.796255,85.936981,116.230682
29.469999,1739.839966,90.382698,9.072464,4.99,27.002363,42.945564,101.725632,9.26,27.682213,85.717133,115.080734
28.719999,1725.449951,90.519958,9.064533,5.04,26.823605,42.584023,101.562935,8.908,27.891283,85.45903,114.639931
28.99,1735.910034,92.098747,9.120046,5.06,26.78388,42.711048,102.319023,9.218,27.720228,85.745796,114.4291
28.76,1735.650024,90.490547,9.080394,4.91,26.615053,41.518932,101.390671,8.988,27.02651,84.321495,112.426285
28.309999,1713.22998,89.715874,8.620426,4.82,25.194921,40.492924,100.644173,8.772,26.456327,82.93541,111.314682
28.68,1724.420044,90.431725,8.771106,4.84,25.095612,40.062984,102.041466,8.922,26.42782,83.442047,111.400902
29.01,1739.650024,91.265236,9.080394,4.89,25.651747,40.199783,104.41497,9.076,26.95999,84.225899,112.512535
28.93,1732.660034,91.363297,8.913855,4.91,25.651747,39.97504,103.314346,8.774,26.902971,83.853096,112.435867
28.23,1705.51001,89.970833,8.763176,4.9,26.078779,39.212868,103.859871,8.76,26.256769,82.447884,110.663033
28.459999,1721.98999,90.725883,8.810758,4.91,26.88319,39.603722,105.620857,8.724,26.503843,83.002335,111.036766
28.379999,1720.26001,91.196594,9.056602,4.94,26.99243,40.014126,105.821846,8.784,27.036013,83.499397,111.621315
29.75,1731.920044,92.059525,9.365891,5.02,27.17119,40.60041,107.02774,8.712,27.47315,84.579582,113.432495
30.530001,1736.430054,93.040123,9.183491,4.95,27.429396,41.079216,106.376938,8.808,27.691719,84.359711,112.991676
30.719999,1767.380005,92.951889,9.072464,5.01,28.074909,41.518932,107.085159,8.702,28.252396,84.9524,114.045776
30.809999,1777.430054,93.040123,8.890062,5.09,27.856426,41.421215,107.372269,8.098,28.670527,84.885475,114.34285
31.139999,1787.47998,93.706932,8.858341,5.23,27.737257,41.470074,108.367615,8.168,28.756052,85.181808,115.454468
30.969999,1757.51001,94.236465,8.842479,5.2,28.025253,41.812073,107.965652,8.042,28.841581,85.353882,115.339478
32.029999,1785.660034,94.354141,9.02488,5.2,28.422495,42.134533,108.798294,7.994,29.478281,85.984772,116.441505
31.51,1765.72998,93.74617,9.175559,5.18,28.06498,41.57756,108.32933,7.88,29.649338,86.147285,116.978157
31.360001,1762.170044,90.529778,9.239003,5.11,28.094772,42.994419,106.577904,7.888,29.8584,86.34803,117.428543
31.719999,1780.780029,89.72567,9.127977,3.9,29.207043,42.896709,105.515587,8.274,29.801382,86.252441,116.776909
32.709999,1761.329956,89.156921,9.548292,3.78,30.647038,43.551395,104.338387,8.116,30.143492,86.35759,117.438118
33.689999,1777.079956,89.08828,9.698971,3.59,31.143585,43.170307,105.008347,7.94,30.257524,86.548767,118.233498
